codigo,descripcion
E10.8,Diabetes mellitus tipo 1 con complicaciones no especificadas
E10.9,Diabetes mellitus tipo 1 sin mención de complicación
E11,Diabetes mellitus tipo 2
E11.0,Diabetes mellitus tipo 2 con coma
E11.1,Diabetes mellitus tipo 2 con cetoacidosis
E11.2,Diabetes mellitus tipo 2 con complicaciones renales
E11.3,Diabetes mellitus tipo 2 con complicaciones oftálmicas
E11.4,Diabetes mellitus tipo 2 con complicaciones neurológicas
E11.5,Diabetes mellitus tipo 2 con complicaciones circulatorias periféricas
E11.6,Diabetes mellitus tipo 2 con otras complicaciones especificadas
E11.7,Diabetes mellitus tipo 2 con complicaciones múltiples
E11.8,Diabetes mellitus tipo 2 con complicaciones no especificadas
E11.9,Diabetes mellitus tipo 2 sin mención de complicación
E66,Obesidad
E66.0,Obesidad debida a exceso de calorías
E66.1,Obesidad inducida por drogas
E66.2,Obesidad extrema con hipoventilación alveolar
E66.8,Otras obesidades
E66.9,Obesidad no especificada
E78,Trastornos del metabolismo de las lipoproteínas y otras lipidemias
E78.0,Hipercolesterolemia pura
E78.1,Hipergliceridemia pura
E78.2,Hiperlipidemia mixta
E78.3,Hiperquilomicronemia
E78.4,Otras hiperlipidemias
E78.5,Hiperlipidemia no especificada
E78.6,Deficiencia de lipoproteínas
E78.8,Otros trastornos del metabolismo de las lipoproteínas
E78.9,Trastorno del metabolismo de las lipoproteínas no especificado
G43,Migraña
G43.0,Migraña sin aura
G43.1,Migraña con aura
G43.2,Estado migrañoso
G43.3,Migraña complicada
G43.8,Otras migrañas
G43.9,Migraña no especificada
I10,Hipertensión esencial (primaria)
I11,Enfermedad cardíaca hipertensiva
I11.0,Enfermedad cardíaca hipertensiva con insuficiencia cardíaca
I11.9,Enfermedad cardíaca hipertensiva sin insuficiencia cardíaca
I20,Angina de pecho
I20.0,Angina inestable
I20.1,Angina de pecho con espasmo documentado
I20.8,Otras formas de angina de pecho
I20.9,Angina de pecho no especificada
I21,Infarto agudo del miocardio
I21.0,Infarto transmural agudo del miocardio de la pared anterior
I21.1,Infarto transmural agudo del miocardio de la pared inferior
I21.2,Infarto transmural agudo del miocardio de otros sitios
I21.3,Infarto transmural agudo del miocardio de sitio no especificado
I21.4,Infarto subendocárdico agudo del miocardio
I21.9,Infarto agudo del miocardio sin otra especificación
I25,Enfermedad isquémica crónica del corazón
I25.0,Enfermedad cardiovascular ateroesclerótica así descrita
I25.1,Enfermedad ateroesclerótica del corazón
I25.2,Infarto antiguo del miocardio
I25.3,Aneurisma cardíaco
I25.4,Aneurisma de arteria coronaria
I25.5,Miocardiopatía isquémica
I25.6,Isquemia miocárdica silenciosa
I25.8,Otras formas de enfermedad isquémica crónica del corazón
I25.9,Enfermedad isquémica crónica del corazón no especificada
I50,Insuficiencia cardíaca
I50.0,Insuficiencia cardíaca congestiva
I50.1,Insuficiencia ventricular izquierda
I50.9,Insuficiencia cardíaca no especificada
J00,Rinofaringitis aguda (resfriado común)
J01,Sinusitis aguda
J01.0,Sinusitis maxilar aguda
J01.1,Sinusitis frontal aguda
J01.2,Sinusitis etmoidal aguda
J01.3,Sinusitis esfenoidal aguda
J01.4,Pansinusitis aguda
J01.8,Otras sinusitis agudas
J01.9,Sinusitis aguda no especificada
J02,Faringitis aguda
J02.0,Faringitis estreptocócica
J02.8,Faringitis aguda debida a otros microorganismos especificados
J02.9,Faringitis aguda no especificada
J03,Amigdalitis aguda
J03.0,Amigdalitis estreptocócica
J03.8,Amigdalitis aguda debida a otros microorganismos especificados
J03.9,Amigdalitis aguda no especificada
J06,Infecciones agudas de las vías respiratorias superiores de sitios múltiples o no especificados
J06.0,Laringofaringitis aguda
J06.8,Otras infecciones agudas de sitios múltiples de las vías respiratorias superiores
J06.9,Infección aguda de las vías respiratorias superiores no especificada
J18,Neumonía organismo no especificado
J18.0,Bronconeumonía no especificada
J18.1,Neumonía lobar no especificada
J18.2,Neumonía hipostática no especificada
J18.8,Otras neumonías de microorganismo no especificado
J18.9,Neumonía no especificada
J20,Bronquitis aguda
J20.0,Bronquitis aguda debida a Mycoplasma pneumoniae
J20.1,Bronquitis aguda debida a Haemophilus influenzae
J20.2,Bronquitis aguda debida a estreptococo
J20.3,Bronquitis aguda debida a virus coxsackie
J20.4,Bronquitis aguda debida a virus parainfluenza
J20.5,Bronquitis aguda debida a virus sincitial respiratorio
J20.6,Bronquitis aguda debida a rinovirus
J20.7,Bronquitis aguda debida a echovirus
J20.8,Bronquitis aguda debida a otros microorganismos especificados
J20.9,Bronquitis aguda no especificada
J40,Bronquitis no especificada como aguda o crónica
J44,Otras enfermedades pulmonares obstructivas crónicas
J44.0,Enfermedad pulmonar obstructiva crónica con infección aguda de las vías respiratorias inferiores
J44.1,Enfermedad pulmonar obstructiva crónica con exacerbación aguda no especificada
J44.8,Otras enfermedades pulmonares obstructivas crónicas especificadas
J44.9,Enfermedad pulmonar obstructiva crónica no especificada
J45,Asma
J45.0,Asma predominantemente alérgica
J45.1,Asma no alérgica
J45.8,Asma mixta
J45.9,Asma no especificada
K21,Enfermedad por reflujo gastroesofágico
K21.0,Enfermedad por reflujo gastroesofágico con esofagitis
K21.9,Enfermedad por reflujo gastroesofágico sin esofagitis
K29,Gastritis y duodenitis
K29.0,Gastritis hemorrágica aguda
K29.1,Otras gastritis agudas
K29.2,Gastritis alcohólica
K29.3,Gastritis superficial crónica
K29.4,Gastritis atrófica crónica
K29.5,Gastritis crónica no especificada
K29.6,Otras gastritis
K29.7,Gastritis no especificada
K29.8,Duodenitis
K29.9,Gastroduodenitis no especificada
K30,Dispepsia
K35,Apendicitis aguda
K35.0,Apendicitis aguda con peritonitis generalizada
K35.1,Apendicitis aguda con absceso peritoneal
K35.2,Apendicitis aguda con peritonitis generalizada
K35.3,Apendicitis aguda con peritonitis localizada
K35.8,Apendicitis aguda otros y los no especificados
K52,Otras gastroenteritis y colitis no infecciosas
K52.0,Gastroenteritis y colitis debidas a radiación
K52.1,Gastroenteritis y colitis tóxicas
K52.2,Gastroenteritis y colitis alérgicas y dietéticas
K52.8,Otras gastroenteritis y colitis no infecciosas especificadas
K52.9,Gastroenteritis y colitis no infecciosas no especificadas
K80,Colelitiasis
K80.0,Cálculo de la vesícula biliar con colecistitis aguda
K80.1,Cálculo de la vesícula biliar con otra colecistitis
K80.2,Cálculo de la vesícula biliar sin colecistitis
K80.3,Cálculo de conducto biliar con colangitis
K80.4,Cálculo de conducto biliar con colecistitis
K80.5,Cálculo de conducto biliar sin colangitis ni colecistitis
K80.8,Otra colelitiasis
L02,Absceso cutáneo furúnculo y ántrax
L02.0,Absceso cutáneo furúnculo y ántrax de la cara
L02.1,Absceso cutáneo furúnculo y ántrax del cuello
L02.2,Absceso cutáneo furúnculo y ántrax del tronco
L02.3,Absceso cutáneo furúnculo y ántrax de glúteos
L02.4,Absceso cutáneo furúnculo y ántrax de miembro
L02.8,Absceso cutáneo furúnculo y ántrax de otros sitios
L02.9,Absceso cutáneo furúnculo y ántrax de sitio no especificado
M06,Otras artritis reumatoides
M06.0,Artritis reumatoide seronegativa
M06.1,Enfermedad de Still del adulto
M06.2,Bursitis reumatoide
M06.3,Nódulo reumatoide
M06.4,Poliartropatía inflamatoria
M06.8,Otras artritis reumatoides especificadas
M06.9,Artritis reumatoide no especificada
M10,Gota
M10.0,Gota idiopática
M10.1,Gota inducida por plomo
M10.2,Gota inducida por drogas
M10.3,Gota debida a deterioro de la función renal
M10.4,Otras gotas secundarias
M10.9,Gota no especificada
M15,Poliartrosis
M15.0,Poliartrosis primaria generalizada
M15.1,Nódulos de Heberden (con artropatía)
M15.2,Nódulos de Bouchard (con artropatía)
M15.3,Poliartrosis secundaria múltiple
M15.4,Artrosis erosiva
M15.8,Otras poliartrosis
M15.9,Poliartrosis no especificada
M16,Coxartrosis [artrosis de la cadera]
M16.0,Coxartrosis primaria bilateral
M16.1,Otras coxartrosis primarias
M16.2,Coxartrosis resultante de displasia bilateral
M16.3,Otras coxartrosis displásicas
M16.4,Coxartrosis postraumática bilateral
M16.5,Otras coxartrosis postraumáticas
M16.6,Otras coxartrosis secundarias bilaterales
M16.7,Otras coxartrosis secundarias
M16.9,Coxartrosis no especificada
M17,Gonartrosis [artrosis de la rodilla]
M17.0,Gonartrosis primaria bilateral
M17.1,Otras gonartrosis primarias
M17.2,Gonartrosis postraumática bilateral
M17.3,Otras gonartrosis postraumáticas
M17.4,Otras gonartrosis secundarias bilaterales
M17.5,Otras gonartrosis secundarias
M17.9,Gonartrosis no especificada
M19,Otras artrosis
M19.0,Artrosis primaria de otras articulaciones
M19.1,Artrosis postraumática de otras articulaciones
M19.2,Otras artrosis secundarias
M19.8,Otras artrosis especificadas
M19.9,Artrosis no especificada
M25,Otros trastornos articulares no clasificados en otra parte
M25.5,Dolor en articulación
M54,Dorsalgia
M54.0,Paniculitis que afecta regiones del cuello y dorso
M54.1,Radiculopatía
M54.2,Cervicalgia
M54.3,Ciática
M54.4,Lumbago con ciática
M54.5,Lumbago no especificado
M54.6,Dolor en la columna dorsal
M54.8,Otras dorsalgias
M54.9,Dorsalgia no especificada
N39,Otros trastornos del sistema urinario
N39.0,Infección de vías urinarias sitio no especificado
R50,Fiebre de origen desconocido
R50.0,Fiebre con escalofríos
R50.1,Fiebre persistente
R50.2,Fiebre inducida por drogas
R50.8,Otras fiebres especificadas
R50.9,Fiebre no especificada
R51,Cefalea
R52,Dolor no clasificado en otra parte
R52.0,Dolor agudo
R52.1,Dolor crónico intratable
R52.2,Otro dolor crónico
R52.9,Dolor no especificado
S06,Traumatismo intracraneal
S06.0,Conmoción
S06.1,Edema cerebral traumático
S06.2,Traumatismo cerebral difuso
S06.3,Traumatismo cerebral focal
S06.4,Hemorragia epidural
S06.5,Hemorragia subdural traumática
S06.6,Hemorragia subaracnoidea traumática
S06.7,Traumatismo intracraneal con coma prolongado
S06.8,Otros traumatismos intracraneales
S06.9,Traumatismo intracraneal no especificado
S52,Fractura del antebrazo
S52.0,Fractura de la extremidad superior del cúbito
S52.1,Fractura de la extremidad superior del radio
S52.2,Fractura de la diáfisis del cúbito
S52.3,Fractura de la diáfisis del radio
S52.4,Fractura de las diáfisis del cúbito y del radio
S52.5,Fractura de la extremidad inferior del radio
S52.6,Fractura de las extremidades inferiores del cúbito y del radio
S52.7,Fracturas múltiples del antebrazo
S52.8,Fractura de otras partes del antebrazo
S52.9,Fractura del antebrazo parte no especificada
S62,Fractura a nivel de la muñeca y de la mano
S62.0,Fractura del hueso escafoides [navicular] de la mano
S62.1,Fractura de otro(s) hueso(s) del carpo
S62.2,Fractura del primer metacarpiano
S62.3,Fractura de otros huesos metacarpianos
S62.4,Fracturas múltiples de huesos metacarpianos
S62.5,Fractura del pulgar
S62.6,Fractura de otros dedos
S62.7,Fracturas múltiples de los dedos
S62.8,Fractura de otras partes y de las no especificadas de la muñeca y de la mano
T14,Traumatismo de región no especificada del cuerpo
T14.0,Traumatismo superficial de región no especificada del cuerpo
T14.1,Herida de región no especificada del cuerpo
T14.2,Fractura de región no especificada del cuerpo
T14.3,Luxación esguince y torcedura de región no especificada del cuerpo
T14.4,Traumatismo de nervio(s) de región no especificada del cuerpo
T14.5,Traumatismo de vaso(s) sanguíneo(s) de región no especificada del cuerpo
T14.6,Traumatismo de músculo(s) y de tendón(es) de región no especificada del cuerpo
T14.7,Traumatismo por aplastamiento y amputación traumática de región no especificada del cuerpo
T14.8,Otros traumatismos de región no especificada del cuerpo
T14.9,Traumatismo no especificado
Z00,Examen general e investigación de personas sin quejas o sin diagnóstico informado
Z00.0,Examen médico general
Z00.1,Examen de salud de rutina del niño
Z00.2,Examen para el período de crecimiento rápido en la niñez
Z00.3,Examen del estado de desarrollo del adolescente
Z00.4,Examen psiquiátrico general no clasificado en otra parte
Z00.5,Examen de donante potencial de órgano o de tejido
Z00.6,Examen de comparación y de control en programa de investigación clínica
Z00.8,Otros exámenes generales
Z09,Examen de seguimiento consecutivo al tratamiento por otras afecciones diferentes a tumores malignos
Z23,Necesidad de inmunización contra una sola enfermedad bacteriana
Z76,Personas en contacto con los servicios de salud en otras circunstancias
Z76.0,Emisión de repetición de receta
Z76.1,Supervisión de salud de fundaciones
Z76.2,Examen de salud en institución de cuidado de niños
Z76.3,Persona saludable que acompaña a persona enferma
Z76.4,Otros internos sanos en hospital
Z76.5,Persona simuladora [simulación consciente]
Z76.8,Personas en contacto con los servicios de salud en otras circunstancias especificadas
Z76.9,Persona en contacto con los servicios de salud en circunstancias no especificadas
